"Legal Entity Name","Organization Marketing Name","Contract Number","Organization Type","Plan Type","Contract Effective Date","Tax Status","Parent Organization","CMS Region Responsible","Enrollment","Legal Entity Street","Legal Entity Street2","Legal Entity City","Legal Entity State Code","Legal Entity Zip","Directory Contact Title","Directory Contact Last Name","Directory Contact First Name","Directory Contact Middle Initial","Directory Contact Phone","Directory Contact Phone Ext","Directory Contact Fax","Directory Contact Email","Directory Contact St Address","Directory Contact St Address2","Directory Contact City","Directory Contact State","Directory Contact Zip","Directory Contact Last Update"
"AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY","Wellcare","H2775","Local CCP","Local PPO","01/01/2009","For Profit","Centene Corporation","Denver","88,068","7700 Forsyth","","St. Louis","MO","63105","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8725 Henderson Rd","","Tampa","FL","33634","06/20/2024"
"AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY","Wellcare","H2816","PFFS","PFFS","01/01/2011","For Profit","Centene Corporation","Denver","1,973","7700 Forsyth","","St. Louis","MO","63105","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8725 Henderson Rd","","Tampa","FL","33634","06/20/2024"
"AMERIHEALTH CARITAS FLORIDA INC","AmeriHealth Caritas VIP Care (HMO-D-SNP)","H6378","Local CCP","HMO/HMOPOS","01/01/2023","For Profit","Independence Health Group, Inc.","Chicago","41","2416 Lake Orange Drive","Suite 190","Orlando","FL","32837","","Services","Provider","","1-800-521-6007","","","VIPProviderComm@amerihealthcaritas.com","Amerihealth Caritas Family of Companies","200 Stevens Dr.","Philadelphia","PA","19113","02/12/2025"
"AMERIHEALTH INSURANCE COMPANY OF NEW JERSEY","AmeriHealth","H5361","Local CCP","Local PPO","01/01/2024","For Profit","Independence Health Group, Inc.","Chicago","9,535","259 Prospect Plains Road, Building M","","Cranbury","NJ","08512","","Service","Customer","","1-800-645-3965","","","info@ibxmedicare.com","PO Box 7799","","Philadelphia","PA","19101-7799","01/24/2023"
"AMERIHEALTH MICHIGAN, INC.","AmeriHealth Caritas VIP Care Plus","H0192","Demo","Medicare-Medicaid Plan HMO/HMOPOS","05/01/2015","For Profit","Independence Health Group, Inc.","Dallas","2,905","200 Stevens Drive","","Philadelphia","PA","19113","","Services","Provider","","1-888-667-0318","","","VIPProviderComm@amerihealthcaritas.com","AmeriHealth Caritas Family of Companies","200 Stevens Dr.","Philadelphia","PA","19113","05/28/2025"
"AMH HEALTH PLANS OF MAINE, INC.","AMH Health","H9219","Local CCP","Local PPO","01/01/2021","For Profit","Elevance Health, Inc.","Chicago","1,192","2 Gannett Drive","","South Portland","ME","04106","","Service","Customer","","1-888-230-7338","","","DirectoryRequest_MMP@anthem.com","4361 Irwin Simpson Rd","","Mason","OH","45040","05/23/2023"
"AMH HEALTH, LLC","AMH Health","H9065","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Elevance Health, Inc.","Chicago","18,820","2 Gannett Drive","","South Portland","ME","04106","","Service","Customer","","1-888-230-7338","","","DirectoryRequest_MMP@anthem.com","4361 Irwin Simpson Rd","","Mason","OH","45040","05/23/2023"
"ANTHEM BLUE CROSS LIFE AND HEALTH INS COMPANY","Anthem Blue Cross Life and Health Insurance Company","H8552","Local CCP","Local PPO","01/01/2012","For Profit","Elevance Health, Inc.","Chicago","12,456","21215 Burbank Boulevard","","Woodland Hills","CA","91367","","Service","Customer","","1-888-230-7338","","","DirectoryRequest_MMP@anthem.com","4361 Irwin Simpson Rd","","Mason","OH","45040","05/23/2023"
"ANTHEM BLUE CROSS LIFE AND HEALTH INS COMPANY","Anthem Blue Cross Life and Health Insurance Company","H4704","Local CCP","Local PPO","01/01/2024","For Profit","Elevance Health, Inc.","Chicago","10,279","21215 Burbank Boulevard","","Woodland Hills","CA","91367","","Service","Customer","","1-888-230-7338","","","DirectoryRequest_MMP@anthem.com","4361 Irwin Simpson Rd","","Mason","OH","45040","05/23/2023"
"ANTHEM HEALTH PLANS, INC.","Anthem Blue Cross and Blue Shield","H5854","Local CCP","HMO/HMOPOS","01/01/2007","For Profit","Elevance Health, Inc.","Chicago","35,315","108 Leigus Road","","Wallingford","CT","06492","","Service","Customer","","1-888-230-7338","","","DirectoryRequest_MMP@anthem.com","4361 Irwin Simpson Rd","","Mason","OH","45040","05/23/2023"
"ANTHEM HEALTH PLANS, INC.","Anthem Blue Cross and Blue Shield","H2836","Local CCP","Local PPO","01/01/2012","For Profit","Elevance Health, Inc.","Chicago","7,589","108 Leigus Road","","Wallingford","CT","06492","","Service","Customer","","1-888-230-7338","","","DirectoryRequest_MMP@anthem.com","4361 Irwin Simpson Rd","","Mason","OH","45040","05/23/2023"
"ANTHEM HEALTHCHOICE ASSURANCE, INC.","Anthem Blue Cross and Blue Shield","H3342","Local CCP","Local PPO","09/01/2005","For Profit","Elevance Health, Inc.","Chicago","447","9 Pine Street","14th Floor","New York","NY","10005","","Service","Customer","","1-888-230-7338","","","DirectoryRequest_MMP@anthem.com","4361 Irwin Simpson Rd","","Mason","OH","45040","05/28/2025"
"ANTHEM HP, LLC.","Anthem Blue Cross and Blue Shield HP","H8432","Local CCP","HMO/HMOPOS","01/01/2014","For Profit","Elevance Health, Inc.","Chicago","46,971","9 Pine Street","14th Floor","New York","NY","10005","","Service","Customer","","1-888-230-7338","","","DirectoryRequest_MMP@anthem.com","4361 Irwin Simpson Rd","","Mason","OH","45040","05/23/2023"
"ANTHEM INSURANCE COMPANIES, INC.","Anthem Blue Cross and Blue Shield","R4487","Regional CCP","Regional PPO","01/01/2019","For Profit","Elevance Health, Inc.","Chicago","8,768","220 Virginia Ave","","Indianapolis","IN","46204","","Service","Customer","","1-888-230-7338","","","DirectoryRequest_MMP@anthem.com","4361 Irwin Simpson Rd","","Mason","OH","45040","05/23/2023"
"ANTHEM INSURANCE COMPANIES, INC.","Anthem Blue Cross and Blue Shield","H4036","Local CCP","Local PPO","01/01/2008","For Profit","Elevance Health, Inc.","Chicago","398,689","120 Monument Circle","","Indianapolis","IN","46204","","Service","Customer","","1-888-230-7338","","","DirectoryRequest_MMP@anthem.com","4361 Irwin Simpson Rd","","Mason","OH","45040","05/23/2023"
"ANTHEM INSURANCE COMPANIES, INC.","Anthem Blue Cross and Blue Shield","H4909","Local CCP","Local PPO","07/01/2005","For Profit","Elevance Health, Inc.","Chicago","13,445","120 Monument Circle","","Indianapolis","IN","46204","","Service","Customer","","1-888-230-7338","","","DirectoryRequest_MMP@anthem.com","4361 Irwin Simpson Rd","","Mason","OH","45040","05/23/2023"
"ANTHEM INSURANCE COMPANIES, INC.","Anthem Blue Cross and Blue Shield","H2441","Local CCP","Local PPO","01/01/2025","For Profit","Elevance Health, Inc.","Chicago","1,275","220 Virginia Ave","","Indiana","IN","46204","","Service","Customer","","1-888-230-7338","","","DirectoryRequest_MMP@anthem.com","4361 Irwin Simpson Rd","","Mason","OH","45040","02/07/2024"
"ANTHEM INSURANCE COMPANIES, INC.","Anthem Blue Cross and Blue Shield","H1607","Local CCP","Local PPO","08/01/2005","For Profit","Elevance Health, Inc.","Chicago","12,669","220 Virginia Ave","","Indianapolis","IN","46204","","Service","Customer","","1-888-230-7338","","","DirectoryRequest_MMP@anthem.com","4361 Irwin Simpson Rd","","Mason","OH","45040","05/23/2023"
"ANTHEM INSURANCE COMPANIES, INC.","Anthem Blue Cross and Blue Shield","R5941","Regional CCP","Regional PPO","01/01/2006","For Profit","Elevance Health, Inc.","Chicago","7,451","220 Virginia Avenue","","Indianapolis","IN","46204","","Service","Customer","","1-888-230-7338","","","DirectoryRequest_MMP@anthem.com","4361 Irwin Simpson Rd","","Mason","OH","45040","05/23/2023"
"APPALACHIAN AGENCY FOR SENIOR CITIZENS, INC.","Appalachian Agency for Senior Citizens, Inc,","H2386","National PACE","National PACE","05/01/2008","Not-for-Profit/Non-Profit","Appalachian Agency for Senior Citizens, Inc.","Philadelphia","157","PO Box 765","216 College Ridge Road","Cedar Bluff","VA","24609","Program Director","Collins","Dana","","1-276-964-4915","7152","1-276-963-0130","dcollins@aasc.org","P.O.B. 765","","Cedar Bluff","VA","24609","03/24/2011"
"ARCADIAN HEALTH PLAN, INC.","Humana","H5619","Local CCP","HMO/HMOPOS","01/01/2007","For Profit","Humana Inc.","Kansas City","497,005","c/o CT Corporation System, 711 Capital Way S.","Suite 204","Olympia","WA","98501","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","12/18/2024"
"ARIZONA PHYSICIANS IPA, INC.","UnitedHealthcare","H0321","Local CCP","HMO/HMOPOS","09/01/2005","For Profit","UnitedHealth Group, Inc.","Boston","70,648","1 East Washington Street","Suite 900","Phoenix","AZ","85004","","Customer Service","UHC","","1-877-614-0623","","","UHCMedicareCustomerService@uhc.com","9800 Health Care Lane","","Minnetonka","MN","55343","04/29/2024"
"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.","Wellcare by Allwell","H9630","Local CCP","HMO/HMOPOS","01/01/2018","For Profit","Centene Corporation","Denver","24,341","7700 Forsyth","","St. Louis","MO","63105","","Services","Provider","","1-866-296-8731","","","CorporateMedicareComplianceDept@CENTENE.COM","4349 Easton Parkway","Suite 200","Columbus","OH","43219","07/05/2024"
"ARKANSAS SUPERIOR SELECT, INC.","Tribute Health Plans","H1587","Local CCP","HMO/HMOPOS","01/01/2015","For Profit","Select Founders, LLC","Dallas","2,288","500 President Clinton Ave","Suite 200-C","Little Rock","AR","72201","","Service","Customer","","1-501-372-1922","","","info@superiorselectinc.com","500 President Clinton Ave","Suite 212","Little Rock","AR","72201","02/21/2024"
"ASCENSION LIVING ST. VINCENT PACE, INC.","Ascension Living St. Vincent PACE","H1742","National PACE","National PACE","07/01/2023","Not-for-Profit/Non-Profit","Ascension Health Alliance","Atlanta","71","4600 Edmundson Road","","St. Louis","MO","63134","Interim Site Director","Gresham","Susan","","1-463-271-3725","","","susan.gresham@ascension.org","5435 W Pike Plaza Rd","","Indianapolis","IN","46254","12/13/2023"
"ASPIRE HEALTH PLAN","Aspire Health","H8764","Local CCP","HMO/HMOPOS","01/01/2014","Not-for-Profit/Non-Profit","Montage Health","New York","8,002","23625 Holman Highway","","Monterey","CA","93940","Customer Service Represen","Service","Customer","","1-855-570-1600","","1-831-574-4939","csrII@aspirehealthplan.org","10 Ragsdale Drive, Suite 101","","Monterey","CA","93940","02/25/2022"
"ASPIRUS HEALTH PLAN, INC.","Aspirus Health Plan","H6874","Local CCP","Local PPO","01/01/2021","For Profit","Aspirus, Inc.","Chicago","2,169","3000 Westhill Drive, Suite 303","","Wausau","WI","54401","Business Analyst","Pena","Jennifer","","1-855-931-4851","","","providerassistancecenterMA@aspirushealthplan.com","500 Stinson Boulevard NE","","Minneapolis","MN","55413","11/18/2024"
"ASTIVA HEALTH, INC.","Astiva Health","H1993","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","Astiva Health Holdings Incorporated","Boston","35,855","765 The City Drive South, Suite 200","","Orange","CA","92868","","Services Department","Member","","1-866-688-9021","","","memberservices@astivahealth.com","765 The City Drive South","Suite 200","Orange","CA","92868","10/02/2023"
"ASURIS NORTHWEST HEALTH","Asuris Northwest Health","H5010","Local CCP","Local PPO","07/01/2005","Not-for-Profit/Non-Profit","Cambia Health Solutions, Inc.","Dallas","424","200 SW Market St","","Portland","OR","97201","Manager Member Services","Ciuro","Catina","","1-541-618-1268","","","Catina.Ciuro@regence.com","PO Box 1827","","Medford","OR","97501","05/28/2025"
"ATLANTICARE HEALTH SERVICES, INC.","AtlantiCare LIFE Connection","H7619","National PACE","National PACE","10/01/2017","Not-for-Profit/Non-Profit","AtlantiCare Health Services, Inc.","New York","148","2500 English Creek Avenue","","Egg Harbor Township","NJ","08234","Quality Assurance and Enr","Williams","Erin","","1-609-572-8588","","","erin.williams@atlanticare.org","1401 Atlantic Ave","Suite 1400","Atlantic City","NJ","08401","05/19/2023"
"ATRIO HEALTH PLANS","ATRIO Health Plans","H5995","Local CCP","HMO/HMOPOS","01/01/2006","For Profit","ATRIO Health Plans","Dallas","61","550 Hawthorne Avenue SE, Suite 140","","Salem","OR","97301","Customer Service","Service","Customer","","1-877-672-8620","","1-541-672-8670","customerservice@atriohp.com","2965 Ryan Dr SE","","Salem","OR","97301","10/05/2020"
"ATRIO HEALTH PLANS","ATRIO Health Plans","H6743","Local CCP","Local PPO","01/01/2011","For Profit","ATRIO Health Plans","Dallas","26,065","550 Hawthorne Avenue SE, Suite 140","","Salem","OR","97301","Customer Service","Service","Customer","","1-877-672-8620","","1-541-672-8670","customerservice@atriohp.com","2965 Ryan Dr SE","","Salem","OR","97301","10/05/2020"
"ATRIO HEALTH PLANS","ATRIO Health Plans","H3814","Local CCP","HMO/HMOPOS","07/01/2005","For Profit","ATRIO Health Plans","Dallas","2,587","550 Hawthorne Avenue SE, Suite 140","","Salem","OR","97301","Customer Service","Service","Customer","","1-877-672-8620","","1-541-672-8670","customerservice@atriohp.com","2965 Ryan Dr SE","","Salem","OR","97301","10/05/2020"
"ATRIO HEALTH PLANS","ATRIO Health Plans","H7006","Local CCP","Local PPO","01/01/2010","For Profit","ATRIO Health Plans","Dallas","10,559","550 Hawthorne Avenue SE, Suite 140","","Salem","OR","97301","Customer Service","Service","Customer","","1-877-672-8620","","1-541-672-8670","customerservice@atriohp.com","2965 Ryan Dr SE","","Salem","OR","97301","10/05/2020"
"AULTCARE HEALTH INSURING CORPORATION","PrimeTime Health Plan","H3664","Local CCP","HMO/HMOPOS","01/01/1997","Not-for-Profit/Non-Profit","Aultman Health Foundation","Chicago","14,375","Morrow House","2600 Sixth Street SW","CANTON","OH","44710","Customer Service Supervis","Bowling-Shaffer","Lisa","","1-330-363-7407","","","lbowling-shaffer@aultcare.com","Morrow House","2600 Sixth Street SW","Canton","OH","44710","09/24/2020"
"AVMED, INC.","AvMed Medicare","H1016","Local CCP","HMO/HMOPOS","09/01/1987","Not-for-Profit/Non-Profit","Sentara Health Care (SHC)","Dallas","13,181","4300 N.W. 89TH BLVD.","","GAINESVILLE","FL","32606","Director, Corporate Compl","Lojko","Catherine","","1-352-372-8400","40740","","Catherine.Lojko@AvMed.org","4300 NW 89 Blvd.","","Gainesville","FL","32606","05/28/2025"
"Advocates for a Healthy Community, Inc. dba Jordan","Jordan Valley Senior Care","H2918","National PACE","National PACE","07/01/2024","Not-for-Profit/Non-Profit","Advocates for a Healthy Community, Inc.","Kansas City","40","1720 W Grand Street","","Springfield","MO","65802","Exec VP Administration","Howe","Yadira","","1-417-851-1551","","","yadira.howe@jordanvalley.org","440 E. Tampa Street","","Springfield","MO","65806","06/29/2023"
"AmeriHealth Caritas VIP Next, Inc.","AmeriHealth Caritas VIP Care (HMO-D-SNP)","H0738","Local CCP","HMO/HMOPOS","01/01/2023","For Profit","Independence Health Group, Inc.","Chicago","486","220 Continental Drive","Suite 300","Newark","DE","19713","","Services","Provider","","1-800-521-6007","","","VIPProviderComm@amerihealthcaritas.com","Amerihealth Caritas Family of Companies","200 Stevens Dr.","Philadelphia","PA","19113","02/12/2025"
"BANNER - UNIVERSITY CARE ADVANTAGE","Banner Medicare Advantage","H4931","Local CCP","HMO/HMOPOS","01/01/2015","Not-for-Profit/Non-Profit","Banner Health","New York","11,486","5255 E Williams Circle","STE 2050","Tucson","AZ","85711","BMA Customer Care","Care","Customer","","1-520-874-3930","","1-520-874-3434","memberservicesinquiries@bannerhealth.com","5255 E Williams Circle, Ste 2050","","Tucson","AZ","85711","07/27/2023"
"BANNER HEALTH PLAN, INC.","Banner Medicare Advantage","H5843","Local CCP","HMO/HMOPOS","01/01/2021","Not-for-Profit/Non-Profit","Banner Health","New York","13,634","5255 E Williams Circle","STE 2050","Tucson","AZ","85711","BMA Customer Care","Care","Customer","","1-520-874-3930","","1-520-874-3434","memberservicesinquiries@bannerhealth.com","5255 E Williams Circle, Ste 2050","","Tucson","AZ","85711","07/27/2023"
"BAYCARE SELECT HEALTH PLANS, INC.","BayCare Health Plans","H2235","Local CCP","HMO/HMOPOS","01/01/2019","Not-for-Profit/Non-Profit","BayCare Health System, Inc.","Atlanta","14,986","300 Park Place Blvd.","Suite 170","Clearwater","FL","33759","","CustomerService","Lumeris","","1-866-509-5396","","","customerservice@baycarehealthplans.org","13900 Riverport Dr","","Maryland Heights","MO","63043","12/10/2019"
"BCBS  OF MASSACHUSETTS HMO BLUE, INC.","Blue Cross Blue Shield of Massachusetts","H2230","Local CCP","Local PPO","09/01/2005","Not-for-Profit/Non-Profit","Blue Cross and Blue Shield of Massachusetts, Inc.","Boston","83,166","101 Huntington Ave","Suite 1300","BOSTON","MA","021997611","","Services","Member","","1-800-200-4255","","","MMService@bcbsma.com","25 Technology Place","Mailstop 03-02","Hingham","MA","02043-4359","11/18/2019"
"BCBS  OF MASSACHUSETTS HMO BLUE, INC.","Blue Cross Blue Shield of Massachusetts","H2261","Local CCP","HMO/HMOPOS","01/01/1996","Not-for-Profit/Non-Profit","Blue Cross and Blue Shield of Massachusetts, Inc.","Boston","14,217","101 Huntington Ave","Suite 1300","BOSTON","MA","021997611","","Services","Member","","1-800-200-4255","","","MMService@bcbsma.com","25 Technology Place","Mailstop 03-02","Hingham","MA","02043-4359","11/18/2019"
"BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY","Blue Cross Blue Shield of Michigan","H9572","Local CCP","Local PPO","01/01/2010","Not-for-Profit/Non-Profit","Blue Cross Blue Shield of Michigan Mutual Ins. Co.","Chicago","575,019","600 East Lafayette Blvd.","","Detroit","MI","48226","Director","Judson","Johanna","","1-866-309-1719","","","jjudson@bcbsm.com","600 East Lafayette Blvd.","","Detroit","MI","48226","03/16/2022"
"BCBSM, Inc.","Blue Cross and Blue Shield of Minnesota","H5959","Local CCP","Local PPO","01/01/2018","Not-for-Profit/Non-Profit","Aware Integrated, Inc.","Chicago","192,235","3400 Yankee Drive","","Eagan","MN","55121","Digital Content Strategis","Cosgrove","Patrick","","1-651-662-3727","","","patrick.cosgrove@bluecrossmn.com","3400 Yankee Drive","","Eagan","MN","55121","02/02/2022"
"BCBSM, Inc.","Blue Cross and Blue Shield of Minnesota","H2461","1876 Cost","1876 Cost","01/01/1999","Not-for-Profit/Non-Profit","Aware Integrated, Inc.","Chicago","48,413","3400 Yankee Drive","","Eagan","MN","55121","Digital Content Strategis","Cosgrove","Patrick","","1-651-662-3727","","","patrick.cosgrove@bluecrossmn.com","3400 Yankee Drive","","Eagan","MN","55121","02/02/2022"
